國家,name,緯度,經度,代碼
日本,Japan,35.6804,139.769,392
台灣,Taiwan,25.033,121.5654,158
南韓,Korea,37.5665,126.978,410
越南,Vietnam,21.0278,105.8342,704
中國,China,39.9042,116.4074,156
香港,Hongkong,22.3193,114.1694,344
泰國,Thailand,15.87,100.9925,764
美國,USA,38.9072,-77.0369,840
菲律賓,Philippines,14.5995,120.9842,608
新加坡,Singapore,1.3521,103.8198,702
馬來西亞,Malaysia,3.139,101.6869,458
印尼,Indonesia,-6.2088,106.8456,360
澳門,Macao,22.1987,113.5439,446
澳大利亞,Australia,-35.2809,149.13,036
加拿大,Canada,45.4215,-75.6972,124
英國,UK,51.36,-0.05,826
阿富汗,Afghanistan,34.28,69.11,004
丹麥,Denmark,55.41,12.34,208
以色列,Israel,31.47,35.12,376
俄羅斯,Russian,55.45,37.35,643
北韓,North Korea,39.08,125.72,408
南非,South Africa,-33.93,18.42,710
哥倫比亞,Colombia,4.34,-74.00,170
埃及,Egypt,30.01,31.14,818
巴西,Brazil,-15.47,-47.55,076
德國,Germany,52.30,13.25,276
新加坡,Singapore,103.51,1.18,702
比利時,Belgium,50.51,3.21,056
瑞士,Switzerland,46.57,7.28,756
義大利,Italy,41.54,12.29,380
蒙古,Mongolia,47.92,106.92,496
阿根廷,Argentina,-34.60,-58.38,032
印度,India,28.37,77.13,356
緬甸,Myanmar,16.45,96.20,104
墨西哥,Mexico,19.20,-99.10,484
法國,France,48.50,2.20,250
波蘭,Poland,52.13,21.00,616
希臘,Greece,37.58,23.46,300
冰島,Iceland,64.10,-21.57,352
衣索比亞,Ethiopia,9.15,40.49,231
薩爾瓦多,El Salvador,13.40,-89.10,222
立陶宛,Lithuania,54.38,25.19,440
塔吉克,Tajikistan,38.33,68.48,762
巴基斯坦,Pakistan,33.40,73.10,586
沙烏地阿拉伯,Saudi Arabia,24.41,46.42,682
捷克,Czechia,50.05,14.22,203
荷蘭,Netherlands,52.23,04.54,528
紐西蘭,New Zealand,-41.19,174.46,554
古巴,Cuba,23.08,-82.22,192
帛琉,Palau,7.34,134.48,585

關島,Guam,13.453671966675515, 144.75500820278674,316
西班牙,Spain,40.4386915195161, -3.709901372633452,724
香港,Hong Kong,22.37934350904062, 114.15986609135389,344
伊朗,Iran,32.50816723163193, 54.39390096345867,364
牙買加,Jamaica,18.106337598846004, -77.3675114265622,388
尼日,Niger,17.088158054780997, 9.575781997654122,562
白俄羅斯,Belarus,53.42955164187973, 28.12330102906998,112
波多黎各,Puerto Rico,18.302173848794308, -66.25001657037912,630
巴拉圭,Paraguay,-23.296049498257773, -58.69279415088742,600
土耳其,Turkey,39.431771725102955, 35.24873461764163,792
烏克蘭,Ukraine,49.32872519885424, 31.932908916306246,804
吐瓦魯,Tuvalu,-8.505716319858143, 179.27045316267711,798
智利,Chile,-26.60263417166612, -70.16282238114935,152
委內瑞拉,Venezuela,7.277701116746329, -65.81848052796492,862
瑞典,Sweden,64.49821580151925, 16.781105800560155,752
多明尼加,Dominican,18.990763329439083, -70.36538199067151,214
羅馬尼亞,Romania,45.87958928808345, 24.67644542980478,642
巴拿馬,Panama,8.492185979937098, -80.23690893364258,591
肯亞,Kenya,0.46024651447892, 37.94963542857325,404
約旦,Jordan,31.50186653778513, 37.00070124064933,400
突尼西亞,Tunisia,34.2556286643908, 9.549593153866077,788
芬蘭,Finland,62.14439412632425, 27.048685231908507,246
黎巴嫩,Lebanon,34.23555904135813, 35.888611173606,422
尚比亞,Zambia,-13.517069033819524, 27.197540737317695,894
汶萊,Brunei,4.502844361341747, 114.66083274406117,096
奈及利亞,Nigeria,9.618530644768294, 9.573670693617233,566
斯里蘭卡,Sri Lanka,7.55069235588748, 80.6010247714391,144
寮國,Lao,19.66146031903566, 102.33213476190913,418
格陵蘭,Greenland,66.2137428050967, -44.20898308452903,304
喬治亞,Georgia,42.29429565556456, 43.68344308491217,268
奧地利,Austria,47.5824618965414, 13.773295751009691,040
挪威,Norway,61.03891720995267, 9.011987700003509,578
保加利亞,Bulgaria,42.27513247078253, 25.430635285168062,100
坦尚尼亞,Tanzania,-6.047648690554023, 34.905972659524586,834
敘利亞,Syrian,35.02385392716724, 38.91427822622768,760
斯洛伐克,Slovakia,48.67170389589917, 19.426468689694083,703
摩洛哥,Morocco,32.45221376110825, -5.369748995231715,504
阿爾及利亞,Algeria,27.942063377178602, 5.148511561912737,012
馬利,Mali,17.73762965946924, -1.3487385287130627,466
利比亞,Libya,27.173150335000294, 16.477182247030445,434
盧森堡,Luxembourg,49.682108501994044, 6.149328529763571,442
厄瓜多爾,Ecuador,-1.4651871649085282, -78.6316362443965,218
葡萄牙,Portugal,38.43985970353145, -9.698361517102299,620
巴林,Bahrain,26.043560563956888, 50.559923821905464,048
瓜地馬拉,Guatemala,15.803687010913764, -90.11916830478422,320
阿曼,Oman,20.835047405134688, 56.38789237632987,512
幾內亞,Guinea,10.28760019358769, -10.799255331560497,324
宏都拉斯,Honduras,14.746320682496377, -86.68567371888399,340
百慕達,Bermuda,32.318989204276946, -64.74172379609004,060
